"Les Rezéens et le bruit du trafic aérien"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Détails de la soumission"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"Séquentiel"|"SID"|"Heure de soumission"|"Heure de complétion"|"Heure de modification"|"Brouillon"|"Adresse IP"|"UID"|"Nom d'utilisateur"|"1/ En pensant aux 12 derniers mois, lorsque vous êtes chez vous, dans quelle mesure le bruit des avions vous gêne-t-il ?"|"2/ En pensant aux 12 derniers mois, lorsque vous êtes chez vous, durant la nuit ou lorsque vous souhaitez dormir, dans quelle mesure le bruit des avions vous gêne-t-il ?"|"3/ Êtes-vous... "|"4/ Quelle est votre tranche d'âge ?"|"5/ En ce qui concerne le bruit en général, estimez-vous que par rapport aux personnes de votre entourage, vous êtes..."|"6/ Dans quel quartier habitez-vous ?"|"7/ Êtes-vous situés ""oui"" ou ""non"" dans la zone III du Plan de Gêne Sonore ? "|" Souhaitez-vous nous faire part de vos commentaires sur cette enquête ou plus généralement sur le bruit des avions ?"
"11"|"22201044"|"04/06/2024 - 21:48"|"04/06/2024 - 21:48"|"04/06/2024 - 21:48"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Pas du tout"|"un homme"|"25-39"|"un peu plus sensible"|"La Blordière"|"Non"|"À certaines heures de la journée les décollages s’enchaînent empêchant de profiter du jardin. "
"12"|"22201809"|"04/06/2024 - 22:48"|"04/06/2024 - 22:48"|"04/06/2024 - 22:48"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"un homme"|"65-79"|"aussi sensible"|"La Blordière"|"Non"|""
"13"|"22202021"|"04/06/2024 - 23:11"|"04/06/2024 - 23:11"|"04/06/2024 - 23:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"65-79"|"aussi sensible"|"La Blordière"|"Oui"|""
"14"|"22207050"|"05/06/2024 - 10:27"|"05/06/2024 - 10:27"|"05/06/2024 - 10:27"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|""
"15"|"22209027"|"05/06/2024 - 11:30"|"05/06/2024 - 11:30"|"05/06/2024 - 11:30"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Légèrement"|"une femme"|"55-64"|"aussi sensible"|"La Houssais"|"Oui"|""
"16"|"22211848"|"05/06/2024 - 13:29"|"05/06/2024 - 13:29"|"05/06/2024 - 13:29"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Légèrement"|"une femme"|"40-54"|"beaucoup plus sensible"|"La Blordière"|"Non"|"Bonjour et merci pour cette enquête.
J'aurais beaucoup aimé qu'une question supplémentaire soit posée «lorsque vous marchez dans votre quartier ou dans Rezé (courses, balade, rdv divers), dans quelle mesure le bruit des avions vous gêne-t-il ? J'aurais alors répondu : Beaucoup
Merci à vous
Bonne journée"
"17"|"22212242"|"05/06/2024 - 13:44"|"05/06/2024 - 13:44"|"05/06/2024 - 13:44"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|"Tous les matins cela me réveille. On entend même les moteurs sur le tarmac. Le week-end impossible d'être tranquillement dehors. "
"18"|"22214467"|"05/06/2024 - 15:09"|"05/06/2024 - 15:09"|"05/06/2024 - 15:09"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|"On n’est pas écoutés donc je ne vais pas passer trop de temps à écrire ce commentaire mais oui la situation est parfois très gênantes aux pics de trafic. L’extension de la plage horaire sans avions de 6h à 7h serait un minimum. "
"19"|"22216681"|"05/06/2024 - 16:27"|"05/06/2024 - 16:27"|"05/06/2024 - 16:27"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"un homme"|"55-64"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|""
"20"|"22217533"|"05/06/2024 - 17:01"|"05/06/2024 - 17:01"|"05/06/2024 - 17:01"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"40-54"|"un peu plus sensible"|"Château"|"Oui"|""
"21"|"22217862"|"05/06/2024 - 17:15"|"05/06/2024 - 17:15"|"05/06/2024 - 17:15"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"un homme"|"65-79"|"aussi sensible"|"Ragon"|"Non"|""
"22"|"22219820"|"05/06/2024 - 18:59"|"05/06/2024 - 18:59"|"05/06/2024 - 18:59"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"Château"|"Non"|"Le début à 6h est vraiment l'aspect le plus dérangeant "
"23"|"22219899"|"05/06/2024 - 19:04"|"05/06/2024 - 19:04"|"05/06/2024 - 19:04"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Légèrement"|"un homme"|"25-39"|"un peu plus sensible"|"Trentemoult-les Isles"|"Non"|""
"24"|"22220006"|"05/06/2024 - 19:11"|"05/06/2024 - 19:11"|"05/06/2024 - 19:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"une femme"|"55-64"|"aussi sensible"|"Château"|"Oui"|"Bruit trop tôt le matin et le soir. Les avions ne respectent pas les hauteurs de vols et le couvre feu "
"25"|"22220393"|"05/06/2024 - 19:38"|"05/06/2024 - 19:38"|"05/06/2024 - 19:38"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"40-54"|"un peu moins sensible"|"Château"|"Non"|""
"26"|"22220797"|"05/06/2024 - 20:06"|"05/06/2024 - 20:06"|"05/06/2024 - 20:06"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"Pont-Rousseau"|"Non"|"Le plan de gêne sonore n’est pas accessible 
Rezé saint Paul nous sommes gênés quotidiennement par les décollages dès 6h du matin et les nuisances sont tard le soir au delà de l’acceptable"
"27"|"22220893"|"05/06/2024 - 20:11"|"05/06/2024 - 20:11"|"05/06/2024 - 20:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"une femme"|"25-39"|"beaucoup plus sensible"|"Pont-Rousseau"|"Non"|""
"28"|"22221048"|"05/06/2024 - 20:23"|"05/06/2024 - 20:23"|"05/06/2024 - 20:23"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"Ragon"|"Non"|"Depuis l'année passée, le bruit lié aux avions est de plus en plus important. Depuis le début du printemps, les avions à répétition les dimanches après midi par exemple toutes les 3 ou 4 minutes sont extrêmement gênants et bruyants, de même le matin à partir de 6 heures. Nous sommes sur Rezé depuis 2011, ça n'a jamais été aussi gênant. Étant née dans les années 80 et ayant vécu à Bouguenais jusqu'en 2007, le trafic aérien n'a plus rien à voir avec aujourd'hui. A l'époque on entendait les avions mais on ne s'en rendait pas vraiment compte. Aujourd'hui, même dans une zone hors zone 3, le bruit des avions s'entend fenêtres fermées...et aux beaux jours quand les fenêtres sont ouvertes, il faut s'arrêter de parler ou stopper la radio ou télévision car on ne peut plus comprendre les choses le temps que l'avion passe... nous envisageons de déménager pour envisager une maison plus grande, nous aurions souhaité rester sur Rezé pour que nos enfants n'aient pas à changer d'ecole, nous sommes bien à Rezé mais la gêne occasionnée par les avions nous amene, à regret, à envisager une autre commune qui serait moins impactée..."
"29"|"22221524"|"05/06/2024 - 20:57"|"05/06/2024 - 20:57"|"05/06/2024 - 20:57"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"Pont-Rousseau"|"Non"|"Les avions sont de plus en plus nombreux et se rapprochent année après année du quartier avec l’augmentation des nuisances."
"30"|"22222579"|"05/06/2024 - 22:11"|"05/06/2024 - 22:11"|"05/06/2024 - 22:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"Ragon"|"Non"|"Nous sommes réveillés au petit matin par le 1er avion vers 6h et le soir par le dernier, qui n'est pas toujours le dernier d'ailleurs, vers 23h30 ou plus tard. 
C'est plus flagrant quand nous entrouvrons la fenêtre bien sûr. 

L'été nous arrêtons de parler dans le jardin lorsqu'ils nous survolent. C'est parfois angoissant."
"31"|"22222806"|"05/06/2024 - 22:29"|"05/06/2024 - 22:29"|"05/06/2024 - 22:29"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"un homme"|"25-39"|"aussi sensible"|"Château"|"Oui"|"Le plus gênant sont les avions entre 6 et 7h, un couloir aérien de décollage au dessus du périphérique et des zones d'activités serait plus judicieux "
"32"|"22223360"|"05/06/2024 - 23:33"|"05/06/2024 - 23:33"|"05/06/2024 - 23:33"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"une femme"|"65-79"|"un peu plus sensible"|"Ragon"|""|"La rafale des départs d'avion entre 6 et 7h est vraiment insupportable surtout fenêtres ouvertes à la bonne saison!"
"33"|"22224280"|"06/06/2024 - 07:38"|"06/06/2024 - 07:38"|"06/06/2024 - 07:38"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|""
"34"|"22224461"|"06/06/2024 - 08:00"|"06/06/2024 - 08:00"|"06/06/2024 - 08:00"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"40-54"|"un peu plus sensible"|"Trentemoult-les Isles"|"Non"|"Un bruit urbain quasi permanent au quotidien"
"35"|"22227383"|"06/06/2024 - 10:08"|"06/06/2024 - 10:08"|"06/06/2024 - 10:08"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"65-79"|"aussi sensible"|"Rezé-Hôtel de ville"|"Non"|"Le trafic aérien a augmenté et des nouvelles lignes sont créés ??
La rue Jean Baptiste HAMON où j'habite n'est pas dans la zone gêne sonore ? Alors que nous subissons les décollages et les atterrissages phase où on demande le maximum de puissance aux moteurs.
J'ai de la famille qui habite le Bignon et qui se plaigne également du bruit.
Je ne comprends pas que le couloir d'atterrissage se fasse toujours au dessus du futur Hôpital ?
C'est aéroport voir aérodrome est une bombe que nous avons au dessus de Nantes."
"36"|"22231012"|"06/06/2024 - 12:14"|"06/06/2024 - 12:14"|"06/06/2024 - 12:14"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Pas du tout"|"Pas du tout"|"un homme"|"65-79"|"aussi sensible"|"La Blordière"|"Non"|""
"37"|"22232214"|"06/06/2024 - 13:11"|"06/06/2024 - 13:11"|"06/06/2024 - 13:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Moyennement"|"une femme"|"55-64"|"aussi sensible"|"Château"|"Non"|"J habite trocardiere et je suis bcp plus gênée qu avant surtout entre 6h et 7h et le soir après 21h.les avions au décollage effectuant leur virage au dessus de la maison."
"38"|"22236957"|"06/06/2024 - 15:59"|"06/06/2024 - 15:59"|"06/06/2024 - 15:59"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Légèrement"|"une femme"|"40-54"|"aussi sensible"|"La Houssais"|"Oui"|""
"39"|"22237407"|"06/06/2024 - 16:15"|"06/06/2024 - 16:15"|"06/06/2024 - 16:15"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"un peu moins sensible"|"Château"|"Non"|"Je suis à la limite de la zone rue du Moulin à l'Huile. Certains voisins me disent dormir avec des boules quies à cause du bruit des avions.."
"40"|"22237957"|"06/06/2024 - 16:34"|"06/06/2024 - 16:34"|"06/06/2024 - 16:34"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Légèrement"|"une femme"|"65-79"|"aussi sensible"|"Ragon"|"Oui"|""
"41"|"22238394"|"06/06/2024 - 16:51"|"06/06/2024 - 16:51"|"06/06/2024 - 16:51"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"un homme"|"55-64"|"aussi sensible"|"Autre"|"Non"|""
"42"|"22238445"|"06/06/2024 - 16:52"|"06/06/2024 - 16:52"|"06/06/2024 - 16:52"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Extrêmement"|"une femme"|"55-64"|"un peu plus sensible"|"Château"|"Oui"|"Le lien vers la carte ne fonctionne pas.
De mémoire, Je suis à la limite de la zone de bruit. Mais aujourd’hui cette carte ne correspond pas à la réalité. Les trajets (et le bruit) dépassent largement la zone d’habitation. 
Comment NM peut annoncer seulement 300 personnes gênées!!! 
Les heures où il y a le plus de décollages, correspondent à des heures où les habitants aimeraient être au calme… tôt le matin, tard le soir… et on ne parle ici que du bruit, mais il y a aussi la pollution (invisible).
"
"43"|"22238887"|"06/06/2024 - 17:09"|"06/06/2024 - 17:09"|"06/06/2024 - 17:09"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"25-39"|"un peu plus sensible"|"Château"|"Non"|"Habitants au nord du quartier Château et non concerner par les zone du PGS (Document que j’ai consulté lors de l’achat de la maison) on observe quotidiennement des avions effectuant leur virage beaucoup trop tard au dessus de Rezé en décollage nord. De plus la majorité des virages se font vers l’est alors que c’est la zone la plus fortement peuplé. N’y aurait il pas moyen de dispatcher plus les trajectoires afin de ne pas impacté toujours les même populations. "
"44"|"22239220"|"06/06/2024 - 17:23"|"06/06/2024 - 17:23"|"06/06/2024 - 17:23"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Beaucoup"|"une femme"|"25-39"|"un peu plus sensible"|"Pont-Rousseau"|"Non"|"Depuis 12 ans que j'ai vécu à Rezé / Bouguenais, la typologie des avions a fortement changé avec des avions actuels (A320, B737) beaucoup plus gros et bruyants que les vols intérieur des compagnies nationales (type CRJ ou Embrear). Ces avions plus bruyants, prennent des trajectoires beaucoup plus larges qui ne respectent plus du tout les mêmes couloirs aériens et ""arrosent"" tout Rezé. Ajouté à une explosion du trafic, c'est juste insoutenable...
Seule une réduction du trafic et un couvre-feu élargis pourraient offrir une solution ""acceptable"" pour la population."
"45"|"22240679"|"06/06/2024 - 18:37"|"06/06/2024 - 18:37"|"06/06/2024 - 18:37"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Beaucoup"|"un homme"|"55-64"|"aussi sensible"|"Trentemoult-les Isles"|""|""
"46"|"22240772"|"06/06/2024 - 18:43"|"06/06/2024 - 18:43"|"06/06/2024 - 18:43"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Légèrement"|"un homme"|"55-64"|"aussi sensible"|"Ragon"|"Oui"|"Aux beaux jours il peut y avoir plus de 25 décollages, certains avions on l’air de changer d’axe de décollage et ainsi sont moins sonores sur Ragon, mais ce n’est pas la majorité. C’est pénible quand un avion survole Ragon, les conversations s’arrêtent à l’extérieur."
"47"|"22240783"|"06/06/2024 - 18:43"|"06/06/2024 - 18:43"|"06/06/2024 - 18:43"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Pas du tout"|"une femme"|"40-54"|"un peu moins sensible"|"Autre"|"Oui"|"Énormément de décollages en soirée. Pas de gêne la nuit mais les soirs beaucoup. Impossible de suivre un film sans faire plusieurs pauses à chaque avion ! Dérangement également le week-end. J'habite rue de la Trocardière "
"48"|"22240793"|"06/06/2024 - 18:44"|"06/06/2024 - 18:44"|"06/06/2024 - 18:44"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"beaucoup moins sensible"|"La Houssais"|"Oui"|"Vols trop bas, trop tard,trop fréquent "
"49"|"22240881"|"06/06/2024 - 18:50"|"06/06/2024 - 18:50"|"06/06/2024 - 18:50"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"Autre"|"Oui"|""
"50"|"22240917"|"06/06/2024 - 18:52"|"06/06/2024 - 18:52"|"06/06/2024 - 18:52"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"un homme"|"25-39"|"un peu plus sensible"|"Trentemoult-les Isles"|"Oui"|""
"51"|"22240926"|"06/06/2024 - 18:53"|"06/06/2024 - 18:53"|"06/06/2024 - 18:53"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Pas du tout"|"une femme"|"55-64"|"aussi sensible"|"Trentemoult-les Isles"|""|""
"52"|"22240976"|"06/06/2024 - 18:56"|"06/06/2024 - 18:56"|"06/06/2024 - 18:56"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Oui"|""
"53"|"22240990"|"06/06/2024 - 18:57"|"06/06/2024 - 18:57"|"06/06/2024 - 18:57"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Extrêmement"|"Pas du tout"|"un homme"|"55-64"|"aussi sensible"|"Trentemoult-les Isles"|""|""
"54"|"22241113"|"06/06/2024 - 19:05"|"06/06/2024 - 19:05"|"06/06/2024 - 19:05"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"40-54"|"aussi sensible"|"La Houssais"|"Non"|"Les avions font leur bifurcation au dessus de mon immeuble, poussant les gaz à ce moment. Le bruit est de plus en plus fréquent et hors des heures autorisées. Je ne suis pourtant pas censée être dans la zone de décollage ! Je suis systématiquement réveillée chaque matin par les premiers décollages ."
"55"|"22241179"|"06/06/2024 - 19:11"|"06/06/2024 - 19:11"|"06/06/2024 - 19:11"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"25-39"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|""
"56"|"22241277"|"06/06/2024 - 19:19"|"06/06/2024 - 19:19"|"06/06/2024 - 19:19"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"55-64"|"un peu moins sensible"|"Trentemoult-les Isles"|"Non"|"Merci pour cette initiative et vivement que l'État prenne ses responsabilités en matière de santé publique. "
"57"|"22241328"|"06/06/2024 - 19:23"|"06/06/2024 - 19:23"|"06/06/2024 - 19:23"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|""
"58"|"22241339"|"06/06/2024 - 19:25"|"06/06/2024 - 19:25"|"06/06/2024 - 19:25"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Extrêmement"|"une femme"|"40-54"|"aussi sensible"|"Autre"|"Oui"|"Il est dommage que les quartiers ""Jaguère"" et ""Classerie"" n'apparaissent pas dans votre sondage. Ces quartiers sont très impactés par le bruit des avions car ces derniers décollent et effectuent un virage à pleine puissance et pleins gaz ! Il s'agit du pire des vrombissements sur Rezé. "
"59"|"22241345"|"06/06/2024 - 19:25"|"06/06/2024 - 19:25"|"06/06/2024 - 19:25"|"0"|"0.0.0.0"|"0"|"Anonymous"|""|""|"une femme"|"25-39"|"beaucoup moins sensible"|"Trentemoult-les Isles"|"Non"|""
"60"|"22241397"|"06/06/2024 - 19:30"|"06/06/2024 - 19:30"|"06/06/2024 - 19:30"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"un homme"|"25-39"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|""
"61"|"22241477"|"06/06/2024 - 19:37"|"06/06/2024 - 19:37"|"06/06/2024 - 19:37"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Extrêmement"|"une femme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Non"|"L’intensification du trafic aérien et le non-respect des horaires de survol sont un vrai problème et les perspectives d’agrandissement de l’aéroport du développement du trafic nous font craindre le pire pour les années à venir. Par ailleurs, le fait que Trentemoult ne soit pas dans la zone trois du plan prévention des bruits est complètement ahurissant, on a l’impression d’être pris pour des imbéciles. Cela empêche par ailleurs les aides pour la sonorisation des maisons. Au final c’est double peine. 
J’ai du mal à croire que cette enquête, même si sur le papier paraît intéressante, servira à grand-chose, contenu de tous les écarts et de tous les manquements, passés et actuels concernant le sujet de l’aéroport de Nantes Atlantique. On en viendrait presque à regretter le déplacement de l’aéroport à notre dame des landes malgré, là aussi, l’absurdité d’un tel projet. "
"62"|"22241632"|"06/06/2024 - 19:51"|"06/06/2024 - 19:51"|"06/06/2024 - 19:51"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Légèrement"|"Pas du tout"|"une femme"|"25-39"|"un peu plus sensible"|"Trentemoult-les Isles"|"Non"|""
"63"|"22242129"|"06/06/2024 - 20:34"|"06/06/2024 - 20:34"|"06/06/2024 - 20:34"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Moyennement"|"une femme"|"65-79"|"un peu plus sensible"|"Château"|"Non"|"Le bruit des avions devient insupportable. Le trafic est très important notamment sur la période d'avril à septembre, 
On vit portes et fenêtres ouvertes et chaque décollage vers le nord, affecte notre qualité de vie, notre sommeil. la perspective de l'augmentation du trafic dans les années futures est stressante. 
Il serait souhaitable de limiter le trafic à  Nantes-Atlantique et d'élargir le couvre-feu entre 23h00-07h00  selon une recommandation de l'OMS pour obtenir les 8 heures de sommeil."
"64"|"22242231"|"06/06/2024 - 20:42"|"06/06/2024 - 20:42"|"06/06/2024 - 20:42"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Moyennement"|"Légèrement"|"une femme"|"25-39"|"aussi sensible"|"Trentemoult-les Isles"|"Oui"|""
"65"|"22242317"|"06/06/2024 - 20:49"|"06/06/2024 - 20:49"|"06/06/2024 - 20:49"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Pas du tout"|"un homme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|""|""
"66"|"22242403"|"06/06/2024 - 20:56"|"06/06/2024 - 20:56"|"06/06/2024 - 20:56"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Beaucoup"|"une femme"|"55-64"|"beaucoup plus sensible"|"La Houssais"|"Non"|"Le bruit des avions me gène le soir au moment du coucher et le matin si réveillée de bonne heure à partir de 6 heures le matin, parfois difficile de se rendormir "
"67"|"22242419"|"06/06/2024 - 20:57"|"06/06/2024 - 20:57"|"06/06/2024 - 20:57"|"0"|"0.0.0.0"|"0"|"Anonymous"|"Beaucoup"|"Extrêmement"|"un homme"|"40-54"|"aussi sensible"|"Trentemoult-les Isles"|"Oui"|"Week end et début et fin de vacances scolaires, survol et bruit incessant …"
